"","Date","Canada_1","Canada_total","Canada_recover","Canada_death","Date_a","Australia_1","Australia_total","Australia_recover","Australia_death","Date_b","Germany_1","Germany_total","Germany_recover","Germany_death","Date_c","Finland_1","Finland_total","Finland_recover","Finland_death","Date_d","Israel_1","Israel_total","Israel_recover","Israel_death","population_Canada","susceptible_Canada","infected_Canada","removed_Canada","population_Australia","susceptible_Australia","infected_Australia","removed_Australia","population_Germany","susceptible_Germany","infected_Germany","removed_Germany","population_Finland","susceptible_Finland","infected_Finland","removed_Finland","population_Israel","susceptible_Israel","infected_Israel","removed_Israel","day"
"1","2020-01-22","Canada","0","0","0","2020-01-22","Australia","0","0","0","2020-01-22","Germany","0","0","0","2020-01-22","Finland","0","0","0","2020-01-22","Israel","0","0","0",37742154,37742154,0,0,25499884,25499884,0,0,67886011,67886011,0,0,5540720,5540720,0,0,11589623,11589623,0,0,1
"2","2020-01-23","Canada","0","0","0","2020-01-23","Australia","0","0","0","2020-01-23","Germany","0","0","0","2020-01-23","Finland","0","0","0","2020-01-23","Israel","0","0","0",37742154,37742154,0,0,25499884,25499884,0,0,67886011,67886011,0,0,5540720,5540720,0,0,11589623,11589623,0,0,2
"3","2020-01-24","Canada","0","0","0","2020-01-24","Australia","0","0","0","2020-01-24","Germany","0","0","0","2020-01-24","Finland","0","0","0","2020-01-24","Israel","0","0","0",37742154,37742154,0,0,25499884,25499884,0,0,67886011,67886011,0,0,5540720,5540720,0,0,11589623,11589623,0,0,3
"4","2020-01-25","Canada","0","0","0","2020-01-25","Australia","0","0","0","2020-01-25","Germany","0","0","0","2020-01-25","Finland","0","0","0","2020-01-25","Israel","0","0","0",37742154,37742154,0,0,25499884,25499884,0,0,67886011,67886011,0,0,5540720,5540720,0,0,11589623,11589623,0,0,4
"5","2020-01-26","Canada","1","0","0","2020-01-26","Australia","4","0","0","2020-01-26","Germany","0","0","0","2020-01-26","Finland","0","0","0","2020-01-26","Israel","0","0","0",37742154,37742153,1,0,25499884,25499880,4,0,67886011,67886011,0,0,5540720,5540720,0,0,11589623,11589623,0,0,5
"6","2020-01-27","Canada","1","0","0","2020-01-27","Australia","5","0","0","2020-01-27","Germany","1","0","0","2020-01-27","Finland","0","0","0","2020-01-27","Israel","0","0","0",37742154,37742153,1,0,25499884,25499879,5,0,67886011,67886010,1,0,5540720,5540720,0,0,11589623,11589623,0,0,6
"7","2020-01-28","Canada","2","0","0","2020-01-28","Australia","5","0","0","2020-01-28","Germany","4","0","0","2020-01-28","Finland","0","0","0","2020-01-28","Israel","0","0","0",37742154,37742152,2,0,25499884,25499879,5,0,67886011,67886007,4,0,5540720,5540720,0,0,11589623,11589623,0,0,7
"8","2020-01-29","Canada","2","0","0","2020-01-29","Australia","6","0","0","2020-01-29","Germany","4","0","0","2020-01-29","Finland","1","0","0","2020-01-29","Israel","0","0","0",37742154,37742152,2,0,25499884,25499878,6,0,67886011,67886007,4,0,5540720,5540719,1,0,11589623,11589623,0,0,8
"9","2020-01-30","Canada","2","0","0","2020-01-30","Australia","9","2","0","2020-01-30","Germany","4","0","0","2020-01-30","Finland","1","0","0","2020-01-30","Israel","0","0","0",37742154,37742152,2,0,25499884,25499875,7,2,67886011,67886007,4,0,5540720,5540719,1,0,11589623,11589623,0,0,9
"10","2020-01-31","Canada","4","0","0","2020-01-31","Australia","9","2","0","2020-01-31","Germany","5","0","0","2020-01-31","Finland","1","0","0","2020-01-31","Israel","0","0","0",37742154,37742150,4,0,25499884,25499875,7,2,67886011,67886006,5,0,5540720,5540719,1,0,11589623,11589623,0,0,10
"11","2020-02-01","Canada","4","0","0","2020-02-01","Australia","12","2","0","2020-02-01","Germany","8","0","0","2020-02-01","Finland","1","0","0","2020-02-01","Israel","0","0","0",37742154,37742150,4,0,25499884,25499872,10,2,67886011,67886003,8,0,5540720,5540719,1,0,11589623,11589623,0,0,11
"12","2020-02-02","Canada","4","0","0","2020-02-02","Australia","12","2","0","2020-02-02","Germany","10","0","0","2020-02-02","Finland","1","0","0","2020-02-02","Israel","0","0","0",37742154,37742150,4,0,25499884,25499872,10,2,67886011,67886001,10,0,5540720,5540719,1,0,11589623,11589623,0,0,12
"13","2020-02-03","Canada","4","0","0","2020-02-03","Australia","12","2","0","2020-02-03","Germany","12","0","0","2020-02-03","Finland","1","0","0","2020-02-03","Israel","0","0","0",37742154,37742150,4,0,25499884,25499872,10,2,67886011,67885999,12,0,5540720,5540719,1,0,11589623,11589623,0,0,13
"14","2020-02-04","Canada","4","0","0","2020-02-04","Australia","13","2","0","2020-02-04","Germany","12","0","0","2020-02-04","Finland","1","0","0","2020-02-04","Israel","0","0","0",37742154,37742150,4,0,25499884,25499871,11,2,67886011,67885999,12,0,5540720,5540719,1,0,11589623,11589623,0,0,14
"15","2020-02-05","Canada","5","0","0","2020-02-05","Australia","13","2","0","2020-02-05","Germany","12","0","0","2020-02-05","Finland","1","0","0","2020-02-05","Israel","0","0","0",37742154,37742149,5,0,25499884,25499871,11,2,67886011,67885999,12,0,5540720,5540719,1,0,11589623,11589623,0,0,15
"16","2020-02-06","Canada","5","0","0","2020-02-06","Australia","14","2","0","2020-02-06","Germany","12","0","0","2020-02-06","Finland","1","0","0","2020-02-06","Israel","0","0","0",37742154,37742149,5,0,25499884,25499870,12,2,67886011,67885999,12,0,5540720,5540719,1,0,11589623,11589623,0,0,16
