,time,S,I,R,S_au,I_au,R_au,S_g,I_g,R_g,S_i,I_i,R_i,S_f,I_f,R_f
1,1,37742153,1,0,25499880,4,0,9227699,1,0,9227699,1,0,5540719,1,0
2,2,37742152.36,1.187197047,0.451863508,25499877.64,4.48192042,1.877235632,9227698.263,1.321503078,0.41589572,9227698.304,1.264422459,0.431312567,5540718.265,1.318161533,0.416803226
3,3,37742151.6,1.409436508,0.988313792,25499875,5.021902382,3.980640728,9227697.288,1.74636927,0.96550187,9227697.425,1.598763402,0.976672758,5540717.296,1.737548664,0.966215877
4,4,37742150.7,1.673278676,1.62518636,25499872.04,5.626941243,6.33746484,9227696,2.307831841,1.691809056,9227696.312,2.021512228,1.666239653,5540716.019,2.290369146,1.69043149
5,5,37742149.63,1.98651155,2.381280218,25499868.72,6.304875185,8.978240709,9227694.299,3.049804059,2.651623622,9227694.906,2.55604377,2.538141277,5540714.336,3.019073211,2.645061799
6,6,37742148.36,2.358379861,3.278910701,25499865,7.064485085,11.93717332,9227692.05,4.030322543,3.920022038,9227693.127,3.231917543,3.640593913,5540712.117,3.979622374,3.903419113
7,7,37742146.86,2.799861147,4.344575877,25499860.83,7.915612471,15.25259942,9227689.078,5.326082767,5.596218161,9227690.879,4.086506551,5.034559007,5540709.192,5.245782242,5.562140291
8,8,37742145.07,3.323986224,5.60973013,25499856.16,8.869282702,18.96746737,9227685.15,7.038423267,7.811304651,9227688.036,5.167070367,6.797124776,5540705.337,6.914774029,7.748590839
9,9,37742142.94,3.946226047,7.111717981,25499850.93,9.937849692,23.129901,9227679.96,9.301283144,10.73854723,9227684.441,6.533350306,9.025739529,5540700.255,9.11476786,10.63068212
10,10,37742140.42,4.684946397,8.894871648,25499845.07,11.13515568,27.79382198,9227673.101,12.29165303,14.60690482,9227679.895,8.260902523,11.84364874,5540693.556,12.01470415,14.42973897
11,11,37742137.43,5.561952046,11.01182461,25499838.5,12.47671041,33.01964796,9227664.038,16.24341859,19.71893882,9227674.148,10.44525527,15.40667665,5540684.725,15.83726278,19.43749193
12,12,37742133.87,6.603130404,13.52506527,25499831.15,13.97989243,38.8750767,9227652.06,21.46566016,26.47448792,9227666.881,13.20718839,19.91183867,5540673.086,20.87596881,26.03849015
13,13,37742129.65,7.83921337,16.50877602,25499822.9,15.66417382,45.43596177,9227636.231,28.36682058,35.40193576,9227657.692,16.69942267,25.60825402,5540657.743,27.51772233,34.73962286
14,14,37742124.64,9.306686011,20.05102671,25499813.66,17.55137218,52.78729413,9227615.314,37.48664227,47.19953201,9227646.074,21.11505638,32.81090887,5540637.518,36.27249813,46.20903836
15,15,37742118.69,11.04886338,24.25637394,25499803.31,19.66593342,61.02430413,9227587.672,49.5383661,62.78999362,9227631.384,26.69824105,41.91807347,5540610.86,47.81248176,61.32743363
16,16,37742111.63,13.11716859,29.2489464,25499791.71,22.03524835,70.25369483,9227551.143,65.46449759,83.39266633,9227612.809,33.75767878,53.43332332,5540575.721,63.02364869,81.25565919
17,17,37742103.25,15.57265081,35.17610908,25499778.71,24.69000729,80.59502388,9227502.871,86.51048664,110.618876,9227589.323,42.68368392,67.99337747,5540529.402,83.0737434,107.5238342
18,18,37742093.3,18.487787,42.21281275,25499764.15,27.66459752,92.18225209,9227439.08,114.3220506,146.597894,9227559.627,53.96975486,86.40329853,5540468.349,109.501828,142.1487626
19,19,37742081.48,21.94862099,50.56675769,25499747.84,30.99754848,105.1654783,9227354.783,151.0737531,194.1433863,9227522.079,68.23984371,109.6809945,5540387.875,144.3362584,187.7886667
20,20,37742067.46,26.05730297,60.48452412,25499729.56,34.73203067,119.7128835,9227243.388,199.638869,256.9733602,9227474.604,86.28282811,139.113481,5540281.803,190.2500817,247.9470782
21,21,37742050.81,30.93510417,72.25884989,25499709.07,38.91641446,136.0129086,9227096.186,263.8136963,340.0006992,9227414.576,109.0960846,176.3280094,5540141.993,250.7657142,327.2415197
22,22,37742031.04,36.72599583,86.23727058,25499686.12,43.60489635,154.2766947,9226901.669,348.6137188,449.7169163,9227338.677,137.9405615,223.3819848,5539957.718,330.5243253,431.7573559
23,23,37742007.57,43.6008979,102.8323766,25499660.4,48.85820038,174.7408176,9226644.636,460.6645878,594.6990423,9227242.713,174.4103795,282.8766318,5539714.846,435.6403346,569.5138457
24,24,37741979.7,51.7627228,122.5339902,25499631.59,54.74436416,197.6703509,9226305.003,608.7181749,786.2791366,9227121.379,220.5207794,358.1006697,5539394.755,574.1676497,751.07779
25,25,37741946.62,61.45236307,145.9236215,25499599.3,61.33961928,223.362298,9225856.239,804.3331019,1039.428017,9226967.969,278.8192376,453.2119083,5538972.916,756.7125293,990.3713759
26,26,37741907.35,72.95579922,173.6916297,25499563.12,68.72937773,252.1494378,9225263.306,1062.771846,1373.921681,9226774.007,352.5258186,573.4667435,5538417.027,997.238067,1305.734701
27,27,37741860.73,86.61253749,206.6575964,25499522.59,77.00933698,284.4046328,9224479.937,1404.182429,1815.880273,9226528.779,445.7104066,725.5101434,5537684.558,1314.119175,1721.322798
28,28,37741805.38,102.825626,245.7945112,25499477.17,86.28671781,320.5456557,9223445.049,1855.153529,2399.797835,9226218.742,563.5164395,917.7420209,5536719.535,1731.523707,2268.940897
29,29,37741739.67,122.0735447,292.257483,25499426.28,96.6816511,361.0405973,9222078.027,2450.757186,3171.216196,9225826.777,712.4432163,1160.780004,5535448.33,2281.216801,2990.453168
30,30,37741661.66,144.924318,347.4178231,25499369.26,108.3287312,406.4139249,9220272.527,3237.227892,4190.245448,9225331.254,900.7019185,1468.04381,5533774.152,3004.910151,3940.938236
31,31,37741569.04,172.0522678,412.9035056,25499305.37,121.3787558,457.2532694,9217888.339,4275.46739,5536.193221,9224704.843,1138.664278,1856.492919,5531569.874,3957.309541,5192.816266
32,32,37741459.09,204.2578971,490.6471962,25499233.78,136.0006753,514.2170292,9214740.743,5645.614648,7313.642609,9223913.015,1439.4275,2347.557357,5528668.72,5210.046955,6841.232885
33,33,37741328.57,242.4914904,582.9432652,25499153.57,152.3837753,578.0428885,9210586.613,7452.975615,9660.411522,9222912.164,1819.524762,2968.311492,5524852.222,6856.717963,9011.059939
34,34,37741173.6,287.8811239,692.5154625,25499063.7,170.7401221,649.5573597,9205106.377,9835.673495,12757.94991,9221647.229,2299.817519,3752.953236,5519834.777,9019.269315,11865.95394
35,35,37740989.64,341.7659064,822.5972475,25498963.01,191.3073005,729.6864733,9197880.695,12974.43661,16844.86879,9220048.719,2906.614091,4744.666465,5513244.003,11855.98972,15620.00723
36,36,37740771.24,405.7354278,977.0271362,25498850.18,214.3514807,819.4677525,9188360.569,17104.97791,22234.45307,9218028.968,3673.068634,5997.963262,5504596.057,15571.31992,20552.62304
37,37,37740511.96,481.6765673,1160.361869,25498723.77,240.1708522,920.0636262,9175829.435,22533.4004,29337.16471,9215477.449,4640.925544,7581.625383,5493265.168,20427.55422,27027.27827
